"Photon energy, eV",n,k
0.64008357,0.24,14.08
0.770088121,0.15,11.85
0.890051597,0.13,10.1
1.019606805,0.09,8.828
1.139560546,0.04,7.795
1.260001905,0.04,6.992
1.389957258,0.04,6.312
1.509976707,0.04,5.727
1.640002479,0.03,5.242
1.759889105,0.04,4.838
1.879972516,0.05,4.483
2.01011977,0.06,4.152
2.129946529,0.05,3.858
2.260010708,0.06,3.586
2.380191734,0.05,3.324
2.500185268,0.05,3.093
2.630127014,0.05,2.869
2.749704756,0.04,2.657
2.880004354,0.04,2.462
2.999859362,0.05,2.275
3.119883931,0.05,2.07
3.24991317,0.05,1.864
3.370051303,0.07,1.657
3.500400549,0.1,1.419
3.619976275,0.14,1.142
3.740096152,0.17,0.829
3.869668771,0.81,0.392
3.990479158,1.13,0.616
4.120444913,1.34,0.964
4.240225288,1.39,1.161
4.359500261,1.41,1.264
4.490553692,1.41,1.331
4.610791649,1.38,1.372
4.739456706,1.35,1.387
4.860219029,1.33,1.393
4.979284636,1.31,1.389
5.110642516,1.3,1.378
5.229193903,1.28,1.367
5.360319388,1.28,1.357
5.481175395,1.26,1.344
5.600008466,1.25,1.342
5.72939868,1.22,1.336
5.851070667,1.2,1.325
5.980906292,1.18,1.312
6.098582756,1.15,1.296
6.220982811,1.14,1.277
6.348396694,1.12,1.255
6.470990993,1.1,1.232
6.598413381,1.07,1.212
